store_num,dist_manager,store_name,street_address,city,state,zip_code,phone_number,manager,latitude,longitude,mon_hours,tues_hours,wed_hours,thurs_hours,fri_hours,sat_hours,sun_hours,shorthand,google_url,apple_url,email,regional_district_manager_email,district_manager_email,area_manager_email,manager_email,mon_open,mon_close,tues_open,tues_close,wed_open,wed_close,thurs_open,thurs_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
310,Denise,Colonnade,"9965 I-10 West, Building C",San Antonio,TX,78230,210-558-3622,Lani Moriel,29.53603277,-98.56591734,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12  - 5,colonna,"https://www.google.com/maps/dir//Al's+Formal+Wear,+I-10+West+Building+III,+Colonnade+Apartments,+9965+Colonnade+Blvd,+San+Antonio,+TX+78230/@29.53603,-98.5681057,17z/data=!4m13!1m4!3m3!1s0x865c60b7ce6c6511:0x5d8f0015f4fe3cb7!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x865c60b7ce6c6511:0x5d8f0015f4fe3cb7!2m2!1d-98.565917!2d29.53603","http://maps.apple.com/?daddr=9965,West+Interstate+10,San+Antonio+Texas,78230",store.310@alsformalwear.com,leonard.llanes@alsformalwear.com,denise.morales@alsformalwear.com,,lani.moriel@alsformalwear.com,11,20,11,18,11,18,11,20,11,18,10,17,12,17
311,LaTanya,Deerbrook,"20135 Highway 59, Suite B",Humble,TX,77338,281-446-0126,Shuranda Rougeau,30.00737748,-95.26773161,10 - 8,10 - 6,10 - 6,10 - 8,10 - 6,9 - 5,12  - 5,deerbrk,"https://www.google.com/maps/dir//Al's+Formal+Wear,+20135+US-59,+Humble,+TX+77338/@30.0074102,-95.2699067,17z/data=!4m13!1m4!3m3!1s0x8640b255578e55b5:0x5a7f2b98abff78e!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8640b255578e55b5:0x5a7f2b98abff78e!2m2!1d-95.267718!2d30.0074102","http://maps.apple.com/?daddr=20135,Highway+59+N,Humble,Texas,77338",store.311@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,,shuranda.rougeau@alsformalwear.com,10,20,10,18,10,18,10,20,10,18,9,17,12,17
312,Denise,North Star,205 Northwest Loop 410,San Antonio,TX,78216,210-525-1679,Denise Morales,29.52132932,-98.49578779,11 - 8,11 - 7,11 - 7,11 - 8,11 - 7,10 - 5,12  - 5,nrthsta,"https://www.google.com/maps/dir//Al's+Formal+Wear,+205+NW+Loop+410,+San+Antonio,+TX+78216/@29.5147984,-98.4851568,15z/data=!4m13!1m4!3m3!1s0x865c60089b7edef9:0x3028dec888a87c3b!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x865c60089b7edef9:0x3028dec888a87c3b!2m2!1d-98.4957884!2d29.5213286","http://maps.apple.com/?daddr=205,NW+Loop+410,San+Antonio,Texas,78216",store.312@alsformalwear.com,leonard.llanes@alsformalwear.com,denise.morales@alsformalwear.com,,denise.morales@alsformalwear.com,11,20,11,19,11,19,11,20,11,19,10,17,12,17
314,Leonard,Moore Plaza,"5425 South Padre Island Drive, Suite 155",Corpus Christi,TX,78411,361-991-7006,D'Andra Vasquez,27.7088397,-97.3740001,11 - 8,11 - 7,11 - 7,11 - 8,11 - 7,10 - 5,12  - 5,moorepl,"https://www.google.com/maps/dir//Al's+Formal+Wear,+5425+South+Padre+Island+Drive,+Suite+155+Moore,+Moore+Plaza,+Center+Dr,+Corpus+Christi,+TX+78411/@27.708839,-97.3761897,17z/data=!3m1!5s0x8668f594dc7a0d73:0x7edf0a3affaea0d5!4m13!1m4!3m3!1s0x8668f5ea99259f6f:0xb13780dfea5f9a48!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8668f5ea99259f6f:0xb13780dfea5f9a48!2m2!1d-97.374001!2d27.708839","http://maps.apple.com/?daddr= 5425,South+Padre+Island+Drive,Unit+155,Corpus+Christi,Texas,78411",store.314@alsformalwear.com,leonard.llanes@alsformalwear.com,,,,11,20,11,19,11,19,11,20,11,19,10,17,12,17
315,LaTanya,Willowbrook,7608-A FM 1960 West,Houston,TX,77070,281-955-1978,Russell Hodges,29.96495382,-95.54242237,10 - 8,10 - 8,10 - 8,10 - 8,10 - 8,9 - 5,12  - 5,willowb,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Commons_atWillowbrook,+7608+Cypress+Creek+Pkwy,+Houston,+TX+77070/@29.964953,-95.5446117,17z/data=!3m1!5s0x8640cde9b3c14ec5:0x7edf0a3a33231fd5!4m13!1m4!3m3!1s0x8640e9e7a5a99d0b:0x2f69c508f111a112!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8640e9e7a5a99d0b:0x2f69c508f111a112!2m2!1d-95.542423!2d29.964953","http://maps.apple.com/?daddr=7608,Cypress+Creek+Parkway,Houston,Texas,77070",store.315@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,,russell.hodges@alsformalwear.com,10,20,10,20,10,20,10,20,10,20,9,17,12,17
316,LaTanya,Sugar Land,15511 Southwest Freeway,Sugar Land,TX,77478,281-565-1500,Joseph Frybert,29.60303048,-95.61593694,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,12  - 5,sugarln,"https://www.google.com/maps/dir//Al's+Formal+Wear,+First+Colony+Commons,+15511+Southwest+Fwy,+Sugar+Land,+TX+77478/@29.60303,-95.6181267,17z/data=!3m1!5s0x8640e6ed6fc1a033:0x41801ecc44bb67b7!4m13!1m4!3m3!1s0x8640e6ed10ffe17f:0xfc6222d711bd6a99!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8640e6ed10ffe17f:0xfc6222d711bd6a99!2m2!1d-95.615938!2d29.60303","http://maps.apple.com/?daddr=15511,Southwest+Freeway,Sugar+Land,Texas,77478",store.316@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,jessica.diaz@alsformalwear.com,joseph.frybert@alsformalwear.com,11,20,11,18,11,18,11,20,11,18,9,17,12,17
317,Leroy,Barton Creek,"2901 South Capital of Texas Highway, Suite 263",Austin,TX,78746,512-328-3777,LeRoy Bryant,30.2567151,-97.8077382,11 - 8,11 - 7,11 - 7,11 - 8,11 - 7,10 - 5,12  - 5,bartonc,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Barton+Creek+Square,+2901+S+Capital+of+Texas+Hwy+%23263,+Austin,+TX+78746/@30.2567151,-97.8099269,17z/data=!3m1!5s0x865b4ae7bf3532d9:0x663c92ccf37156d6!4m13!1m4!3m3!1s0x865b4ae6e0a039c5:0x1e979dde4746393d!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x865b4ae6e0a039c5:0x1e979dde4746393d!2m2!1d-97.8077382!2d30.2567151","http://maps.apple.com/?daddr=2901,South+Capital+of+Texas+Highway,Austin,Texas,78746",store.317@alsformalwear.com,leonard.llanes@alsformalwear.com,leroy.bryant@alsformalwear.com,,iecia.stewart@alsformalwear.com,11,20,11,19,11,19,11,20,11,19,10,17,12,17
502,Donald,Amarillo,"2600 Paramount Boulevard, Suite C-3",Amarillo,TX,79109,806-353-9141,Marty Geist,35.18520667,-101.8750275,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,Closed,westgat,"https://www.google.com/maps/dir//Al's+Formal+Wear,+2600+Paramount+Blvd+%233,+Amarillo,+TX+79109/@35.185206,-101.8772167,17z/data=!4m13!1m4!3m3!1s0x87015050a62e9367:0x4ef4ae9ed17cdc24!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x87015050a62e9367:0x4ef4ae9ed17cdc24!2m2!1d-101.875028!2d35.185206","http://maps.apple.com/?daddr=2600,Paramount+Boulevard,Suite+3,Amarillo,Texas,79109",store.502@alsformalwear.com,marcus.grimes@alsformalwear.com,donald.doggett@alsformalwear.com,,marty.geist@alsformalwear.com,11,19,11,18,11,18,11,19,11,18,10,17,99,99
503,LaTanya,Pearland,"10645 Broadway Street, Suite 114",Pearland,TX,77584,713-436-3305,Ashley Robertson,29.55649126,-95.38643228,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,12  - 5,pearlan,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Suite+114+NE+corner+of+at+FM+518,+The+Crossing,+W+Broadway+St,+Pearland,+TX+77584/@29.556487,-95.3886247,17z/data=!4m13!1m4!3m3!1s0x864093310f1c25e9:0x7c3415b540c3ef78!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x864093310f1c25e9:0x7c3415b540c3ef78!2m2!1d-95.386436!2d29.556487","http://maps.apple.com/?daddr=5524,Weslayan+Street,Houston,Texas",store.503@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,,ashley.robertson@alsformalwear.com,11,19,11,18,11,18,11,19,11,18,10,17,12,17
504,Leonard,Lake Charles - Ryan,3419 Ryan Street,Lake Charles,LA,70605,337-477-7071,Berlisha Lemelle,30.1955348,-93.21839462,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,Closed,ryanst,"https://www.google.com/maps/dir//Al's+Formal+Wear,+3419+Ryan+St,+Lake+Charles,+LA+70605/@30.1974631,-93.2229099,21z/data=!4m13!1m4!3m3!1s0x863b844a93f2ff3b:0x9dd0458c0df0973e!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x863b844a93f2ff3b:0x9dd0458c0df0973e!2m2!1d-93.218393!2d30.195534","http://maps.apple.com/?daddr=3419,Ryan+Street,Lake+Charles,Louisiana,70605",store.504@alsformalwear.com,leonard.llanes@alsformalwear.com,,randi.castleberry@alsformalwear.com,berlisha.lemelle@alsformalwear.com,11,20,11,18,11,18,11,20,11,18,9,17,99,99
507,Denise,Rolling Oaks Mall,"6909 North Loop 1604 East, Suite 1124A",San Antonio,TX,78247,210-646-8049,Glenn Brown,29.59670013,-98.35087229,11 - 7,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12  - 5,rolloak,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Rolling+Oaks+Mall,+6909+N+Loop+1604+E+%231124a,+San+Antonio,+TX+78247/@29.5966925,-98.3530621,17z/data=!3m1!5s0x865c8dcaf27c92bf:0x7edf0a3aa58065ec!4m13!1m4!3m3!1s0x865c8dcae50877ff:0x7c8cc6a67877fa5!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x865c8dcae50877ff:0x7c8cc6a67877fa5!2m2!1d-98.3508734!2d29.5966925","http://maps.apple.com/?daddr=6909,North+Loop+1604+East,Suite+1124A,San+Antonio,Texas,78247",store.507@alsformalwear.com,leonard.llanes@alsformalwear.com,denise.morales@alsformalwear.com,,glen.brown@alsformalwear.com,11,19,11,18,11,18,11,20,11,18,10,17,12,17
508,Donald,Abilene,3765 Catclaw Drive,Abilene,TX,79606,325-691-0748,Dwana Bradshaw,32.4071513,-99.774113,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,12  - 5,abilene,"https://www.google.com/maps/dir//Al's+Formal+Wear,+3765+Catclaw+Dr,+Abilene,+TX+79606/@32.4071513,-99.7763017,17z/data=!3m1!5s0x86568c3673b1e6c3:0x3333a570fb409360!4m13!1m4!3m3!1s0x86568c363e933293:0x93f115cd2f108401!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x86568c363e933293:0x93f115cd2f108401!2m2!1d-99.774113!2d32.4071513","http://maps.apple.com/?daddr=3765,Catclaw+Drive,Abilene,Texas,79606",store.508@alsformalwear.com,marcus.grimes@alsformalwear.com,donald.doggett@alsformalwear.com,,dwana.bradshaw@alsformalwear.com,11,19,11,18,11,18,11,19,11,18,10,17,12,17
509,Donald,Lafayette,5725 Johnston Street,Lafayette,LA,70503,337-984-7129,Jimmy Eugenne,30.1712205,-92.0744234,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12  - 5,lafayet,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Acadiana+Mall,+5725+Johnston+St+%232054,+Lafayette,+LA+70503/@30.1712205,-92.0766121,17z/data=!3m1!5s0x86249e721d6f9c01:0xf07d58fbf6e8eccb!4m13!1m4!3m3!1s0x86249e721cede08d:0x269b8e7ac2567953!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x86249e721cede08d:0x269b8e7ac2567953!2m2!1d-92.0744234!2d30.1712205","http://maps.apple.com/?daddr=5725,Johnston+Street,Suite+2054,Lafayette,Louisiana,70503",store.509@alsformalwear.com,leonard.llanes@alsformalwear.com,donald.daniels@alsformalwear.com,,jimmy.eugene@alsformalwear.com,11,20,11,18,11,18,11,20,11,18,10,17,12,17
510,Donald,Odessa,"4101 East 42nd Street, Suite L-36",Odessa,TX,79762,432-367-3461,Brian Manchester,31.894248,-102.338454,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,11 - 5,12  - 5,odessa,"https://www.google.com/maps/dir//Al's+Formal+Wear,+%23L-36,+Music+City+Mall,+4101+E+42nd+St,+Odessa,+TX+79762/@31.894248,-102.3406427,17z/data=!3m1!5s0x86fbcf2ec1147895:0x7edf0a3a00737705!4m13!1m4!3m3!1s0x86fbcf2bfc93e23d:0x73972cef29875594!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x86fbcf2bfc93e23d:0x73972cef29875594!2m2!1d-102.338454!2d31.894248","http://maps.apple.com/?daddr=4101,East+42nd+Street,Suite+L-36,Odessa,Texas,79762",store.510@alsformalwear.com,marcus.grimes@alsformalwear.com,donald.doggett@alsformalwear.com,,brian.manchester@alsformalwear.com,11,19,11,18,11,18,11,19,11,18,11,17,12,17
511,Donald,San Angelo,2005 Knickerbocker Road,San Angelo,TX,76904,325-949-9595,Brisa Sosa,31.4271532,-100.4594778,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,Closed,sanange,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Stadium+Park+Shopping+Center,+2005+Knickerbocker+Rd,+San+Angelo,+TX+76904/@31.427276,-100.4618037,17z/data=!4m13!1m4!3m3!1s0x8657e575602d0457:0x5b382b7b662070ab!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8657e575602d0457:0x5b382b7b662070ab!2m2!1d-100.459615!2d31.427276","http://maps.apple.com/?daddr=5524,Weslayan+Street,Houston,Texas",store.511@alsformalwear.com,marcus.grimes@alsformalwear.com,donald.doggett@alsformalwear.com,,brisa.sosa@alsformalwear.com,11,19,99,99,11,18,11,19,11,18,10,17,99,99
512,Donald,Midland,"4511 North Midkiff Road, Suite A-2",Midland,TX,79705,432-694-1288,Kayla Hallback,32.03067,-102.133355,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,12  - 5,midland,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Midland+Park+Mall,+4511+N+Midkiff+Rd+%232,+Midland,+TX+79705/@32.03067,-102.1355437,17z/data=!3m1!5s0x86fbd93a5f4e0a8f:0x7edf0a3ae08d1fdc!4m13!1m4!3m3!1s0x86fbd925342903ef:0x8a0672908e9aad27!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x86fbd925342903ef:0x8a0672908e9aad27!2m2!1d-102.133355!2d32.03067","http://maps.apple.com/?daddr=4511,North+Midkiff+Road,Suite+2,Midland,Texas,79705",store.512@alsformalwear.com,marcus.grimes@alsformalwear.com,donald.doggett@alsformalwear.com,brian.manchester@alsformalwear.com,kayla.hallback@alsformalwear.com,11,19,99,99,11,18,11,19,11,18,10,17,12,17
515,Denise,Ingram Heights,5841 Northwest Loop 410,San Antonio,TX,78238,210-680-0946,Belinda Garcia,29.477541,-98.61005,11 - 8,11 - 7,11 - 7,11 - 8,11 - 7,10 - 5,12  - 5,ingramh,"https://www.google.com/maps/dir//Al's+Formal+Wear,+5841+NW+Loop+410,+San+Antonio,+TX+78238/@29.477541,-98.6122387,17z/data=!4m13!1m4!3m3!1s0x865c5da5d0107eef:0xa2f2006c9012ff7!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x865c5da5d0107eef:0xa2f2006c9012ff7!2m2!1d-98.61005!2d29.477541","http://maps.apple.com/?daddr=5841,Northwest+Loop+410,San+Antonio,Texas,78238",store.515@alsformalwear.com,leonard.llanes@alsformalwear.com,denise.morales@alsformalwear.com,lani.moriel@alsformalwear.com,belinda.garcia@alsformalwear.com,11,20,11,19,11,19,11,20,11,19,10,17,12,17
517,Donald,Allen,"190 East Stacy Road, Suite 308",Allen,TX,75002,972-912-3222,Ken Thornton,33.129094,-96.656855,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,Closed,allen,"https://www.google.com/maps/dir//Al's+Formal+Wear,+190+%23+The+Village+at+Allen,+The+Village+at+Allen,+E+Stacy+Rd+%23308,+Allen,+TX+75002/@33.129094,-96.6590437,17z/data=!3m1!5s0x864c11290a2f11fd:0x7edf0a3a2f2993f5!4m13!1m4!3m3!1s0x864c11290be90207:0xf10128a2b5d80d94!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x864c11290be90207:0xf10128a2b5d80d94!2m2!1d-96.656855!2d33.129094","http://maps.apple.com/?daddr=190,East+Stacy+Road,Suite+308,Allen,Texas,75002",store.517@alsformalwear.com,marcus.grimes@alsformalwear.com,donald.doggett@alsformalwear.com,victoria.rohre@alsformalwear.com,,11,19,99,99,11,18,11,19,11,18,10,17,99,99
